freq,unit,na_item,geo,time,value,geo_label
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2010,77.7,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2011,79.5,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2012,79.3,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2013,78.4,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2014,78.0,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2015,76.8,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2016,78.9,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2017,80.8,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2018,82.0,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2019,82.8,Slovenia
A,PC_EU27_2020_MPPS_CP,NLPR_HW,SI,2020,82.3,Slovenia
