geo,geo_label,time,great_difficulty,difficulty,subjective_poverty
EE,Estonia,2023,2.7,8.9,11.600000000000001
EE,Estonia,2024,2.5,7.4,9.9
EE,Estonia,2025,4.1,9.3,13.4
EL,Greece,2003,17.7,30.3,48.0
EL,Greece,2004,14.2,31.2,45.4
EL,Greece,2005,17.1,33.7,50.800000000000004
EL,Greece,2006,18.4,34.2,52.6
EL,Greece,2007,18.8,33.6,52.400000000000006
EL,Greece,2008,20.0,34.5,54.5
EL,Greece,2009,22.3,34.7,57.0
EL,Greece,2010,24.2,34.2,58.400000000000006
EL,Greece,2011,25.6,37.0,62.6
EL,Greece,2012,35.0,38.1,73.1
EL,Greece,2013,39.6,38.7,78.30000000000001
EL,Greece,2014,39.5,38.6,78.1
EL,Greece,2015,38.2,39.5,77.7
EL,Greece,2016,40.6,36.2,76.80000000000001
EL,Greece,2017,39.9,37.3,77.19999999999999
EL,Greece,2018,38.2,35.9,74.1
EL,Greece,2019,37.7,33.3,71.0
EL,Greece,2020,36.1,33.7,69.80000000000001
EL,Greece,2021,39.0,32.0,71.0
EL,Greece,2022,36.8,31.6,68.4
EL,Greece,2023,36.7,30.3,67.0
EL,Greece,2024,35.4,31.3,66.7
EL,Greece,2025,35.0,32.2,67.2
ES,Spain,2004,11.7,17.8,29.5
ES,Spain,2005,11.1,16.7,27.799999999999997
ES,Spain,2006,12.1,18.8,30.9
ES,Spain,2007,11.1,16.9,28.0
ES,Spain,2008,13.7,18.2,31.9
ES,Spain,2009,16.2,17.8,34.0
ES,Spain,2010,15.5,18.3,33.8
ES,Spain,2011,11.1,17.9,29.0
ES,Spain,2012,14.7,20.0,34.7
ES,Spain,2013,18.6,20.2,38.8
ES,Spain,2014,17.5,21.6,39.1
ES,Spain,2015,14.8,20.4,35.2
ES,Spain,2016,16.6,19.0,35.6
ES,Spain,2017,9.5,15.6,25.1
ES,Spain,2018,10.4,16.7,27.1
ES,Spain,2019,7.8,14.2,22.0
ES,Spain,2020,10.0,12.8,22.8
ES,Spain,2021,8.8,12.8,21.6
ES,Spain,2022,8.7,13.4,22.1
ES,Spain,2023,9.4,13.2,22.6
ES,Spain,2024,9.1,12.8,21.9
ES,Spain,2025,8.5,12.1,20.6
EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2011,10.2,15.8,26.0
EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2012,11.2,16.6,27.8
EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2013,12.2,16.7,28.9
EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2014,11.4,16.3,27.700000000000003
EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2015,10.0,15.7,25.7
EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,9.1,15.0,24.1
EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,7.7,13.9,21.6
EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,7.3,13.4,20.7
EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,6.4,11.6,18.0
EU15,European Union - 15 countries (1995-2004),2015,10.5,16.4,26.9
EU27_2007,European Union - 27 countries (2007-2013),2007,9.2,14.6,23.799999999999997
EU27_2007,European Union - 27 countries (2007-2013),2008,9.8,15.2,25.0
EU27_2007,European Union - 27 countries (2007-2013),2009,10.4,15.7,26.1
EU27_2007,European Union - 27 countries (2007-2013),2010,10.5,15.8,26.3
EU27_2007,European Union - 27 countries (2007-2013),2011,10.1,15.6,25.7
EU27_2007,European Union - 27 countries (2007-2013),2012,11.1,16.4,27.5
EU27_2007,European Union - 27 countries (2007-2013),2013,12.1,16.5,28.6
EU27_2007,European Union - 27 countries (2007-2013),2014,11.3,16.2,27.5
EU27_2007,European Union - 27 countries (2007-2013),2015,9.9,15.6,25.5
